[	X	nmod	CISCO
'	PUNCT	punct	professional
,	PUNCT	punct	professional
'	PUNCT	punct	looking
looking	NOUN	conj	professional
'	PUNCT	punct	looking
,	PUNCT	punct	looking
'	PUNCT	punct	data
data	NOUN	appos	looking
'	PUNCT	punct	data
,	PUNCT	punct	data
'	PUNCT	punct	science
science	NOUN	appos	data
'	PUNCT	punct	science
,	PUNCT	punct	science
'	PUNCT	punct	machine
machine	NOUN	appos	CISCO
'	PUNCT	punct	machine
,	PUNCT	punct	machine
'	PUNCT	punct	learning
learning	NOUN	appos	machine
'	PUNCT	punct	learning
,	PUNCT	punct	CISCO
'	PUNCT	punct	roles
roles	NOUN	appos	CISCO
'	PUNCT	punct	roles
,	PUNCT	punct	CISCO
'	PUNCT	punct	Masters
Masters	NOUN	appos	CISCO
'	PUNCT	punct	Masters
,	PUNCT	punct	Masters
'	PUNCT	punct	machine
machine	NOUN	appos	Masters
'	PUNCT	punct	machine
,	PUNCT	punct	machine
'	PUNCT	punct	learning
