[	X	nmod	CISCO
'	PUNCT	punct	Sci
Sci	NOUN	appos	Python
'	PUNCT	punct	Sci
,	PUNCT	punct	CISCO
'	PUNCT	punct	kit
kit	NOUN	appos	CISCO
'	PUNCT	punct	kit
,	PUNCT	punct	CISCO
'	PUNCT	punct	Learn
Learn	NOUN	appos	CISCO
'	PUNCT	punct	Learn
,	PUNCT	punct	CISCO
'	PUNCT	punct	Ker
Ker	NOUN	appos	CISCO
'	PUNCT	punct	Ker
,	PUNCT	punct	Ker
'	PUNCT	punct	as
as	NOUN	appos	Ker
'	PUNCT	punct	as
,	PUNCT	punct	as
'	PUNCT	punct	Tensor
Tensor	NOUN	appos	CISCO
'	PUNCT	punct	Tensor
,	PUNCT	punct	Tensor
'	PUNCT	punct	flow
flow	NOUN	appos	Tensor
'	PUNCT	punct	flow
,	PUNCT	punct	CISCO
'	PUNCT	punct	Object
Object	NOUN	appos	CISCO
'	PUNCT	punct	Object
,	PUNCT	punct	CISCO
'	PUNCT	punct	Oriented
Oriented	NOUN	conj	CISCO
'	PUNCT	punct	Oriented
,	PUNCT	punct	Oriented
'	PUNCT	punct	Programming
Programming	NOUN	conj	Oriented
'	PUNCT	punct	Programming
,	PUNCT	punct	Programming
'	PUNCT	punct	Machine
Machine	NOUN	appos	Programming
'	PUNCT	punct	Machine
,	PUNCT	punct	Machine
'	PUNCT	punct	Learning
Learning	NOUN	appos	Machine
'	PUNCT	punct	Learning
,	PUNCT	punct	Learning
'	PUNCT	punct	Software
Software	NOUN	appos	Learning
'	PUNCT	punct	Software
,	PUNCT	punct	Oriented
'	PUNCT	punct	Engineering
Engineering	NOUN	conj	Oriented
'	PUNCT	punct	Engineering
,	PUNCT	punct	Engineering
'	PUNCT	punct	Application
Application	NOUN	appos	Engineering
'	PUNCT	punct	Application
,	PUNCT	punct	CISCO
'	PUNCT	punct	Development
Development	NOUN	appos	CISCO
'	PUNCT	punct	Development
,	PUNCT	punct	Development
'	PUNCT	punct	SKILLS
SKILLS	NOUN	appos	Development
'	PUNCT	punct	SKILLS
,	PUNCT	punct	SKILLS
'	PUNCT	punct	Intelligent
Intelligent	ADJ	appos	SKILLS
'	PUNCT	punct	Intelligent
,	PUNCT	punct	Development
'	PUNCT	punct	Disease
Disease	NOUN	appos	Development
'	PUNCT	punct	Disease
,	PUNCT	punct	Disease
'	PUNCT	punct	Recognition
Recognition	NOUN	appos	Disease
'	PUNCT	punct	Recognition
,	PUNCT	punct	Recognition
'	PUNCT	punct	using
using	NOUN	appos	Recognition
'	PUNCT	punct	using
,	PUNCT	punct	using
'Cause	NOUN	punct	CISCO
'	PUNCT	punct	'Cause
,	PUNCT	punct	CISCO
'	PUNCT	punct	Pair
Pair	NOUN	appos	CISCO
'	PUNCT	punct	Pair
,	PUNCT	punct	Pair
'	PUNCT	punct	Extraction
Extraction	NOUN	appos	Pair
'	PUNCT	punct	Extraction
,	PUNCT	punct	CISCO
'	PUNCT	punct	Understanding
Understanding	NOUN	appos	CISCO
'	PUNCT	punct	Understanding
,	PUNCT	punct	Understanding
'	PUNCT	punct	Neural
Neural	PROPN	appos	Understanding
'	PUNCT	punct	Neural
,	PUNCT	punct	CISCO
'	PUNCT	punct	Networks
Networks	NOUN	appos	CISCO
'	PUNCT	punct	Networks
,	PUNCT	punct	Networks
'	PUNCT	punct	Nanyang
Nanyang	NOUN	appos	Networks
'	PUNCT	punct	Nanyang
,	PUNCT	punct	Nanyang
'	PUNCT	punct	University
University	NOUN	appos	Nanyang
'	PUNCT	punct	University
,	PUNCT	punct	University
'	PUNCT	punct	PROJECT
PROJECT	NOUN	appos	University
'	PUNCT	punct	PROJECT
,	PUNCT	punct	CISCO
'	PUNCT	punct	QUALIFICATION
QUALIFICATION	NOUN	appos	CISCO
'	PUNCT	punct	QUALIFICATION
]	PUNCT	punct	CISCO
